finished,total_step,episode_length,total_speed,avg_speed,total_alpha,avg_alpha,total_reward,avg_reward,total_action,action_change_count,action_forward,action_forward_left,action_forward_right
True,312,14.55,7370.735,23.624,4586.51,14.7,54.311,0.174,313,47,50,113,150
True,304,14.019,7280.649,23.95,4333.078,14.254,57.782,0.19,305,50,52,107,146
False,311,14.535,7381.88,23.736,5093.172,16.377,60.735,0.195,312,49,61,100,151
True,292,13.482,7231.942,24.767,3975.523,13.615,48.295,0.165,293,43,60,103,130
True,310,14.415,7280.086,23.484,4977.582,16.057,52.535,0.169,311,47,57,101,153
True,308,14.369,7341.157,23.835,4918.443,15.969,54.39,0.177,309,36,58,101,150
True,309,14.421,7439.852,24.077,5336.982,17.272,47.165,0.153,310,50,33,125,152
False,330,15.263,7655.948,23.2,6278.051,19.024,52.639,0.16,331,49,52,108,171
True,319,14.867,7550.37,23.669,5983.384,18.757,45.695,0.143,320,50,46,112,162
True,312,14.536,7362.577,23.598,4875.291,15.626,60.313,0.193,313,54,57,102,154
True,332,15.529,7646.032,23.03,6773.666,20.403,50.304,0.152,333,49,42,118,173
True,311,14.398,7423.65,23.87,5364.151,17.248,56.446,0.181,312,50,55,106,151
True,314,14.538,7396.956,23.557,4610.775,14.684,59.569,0.19,315,44,51,103,161
True,309,14.498,7446.184,24.098,5365.112,17.363,49.975,0.162,310,41,56,101,153
True,310,14.494,7358.367,23.737,4935.391,15.921,53.837,0.174,311,54,43,115,153
True,313,14.47,7283.908,23.271,4765.006,15.224,56.152,0.179,314,49,62,103,149
True,313,14.69,7316.761,23.376,4559.223,14.566,54.367,0.174,314,47,52,112,150
True,310,14.398,7258.885,23.416,5939.67,19.16,46.729,0.151,311,49,62,98,151
False,234,10.96,5332.211,22.787,2908.008,12.427,45.295,0.194,235,43,29,91,115
True,314,14.552,7416.92,23.621,5016.567,15.976,59.085,0.188,315,51,60,101,154
True,308,14.38,7356.989,23.886,5659.814,18.376,49.873,0.162,309,37,68,94,147
True,303,14.088,7185.94,23.716,4525.238,14.935,53.459,0.176,304,49,48,111,145
True,316,14.728,7339.531,23.226,4636.977,14.674,57.128,0.181,317,47,59,102,156
True,314,14.593,7270.445,23.154,4940.685,15.735,52.279,0.166,315,50,52,104,159
False,317,14.771,7445.682,23.488,5337.775,16.838,57.494,0.181,318,50,53,109,156
True,302,14.003,7201.159,23.845,3795.018,12.566,58.133,0.192,303,45,50,107,146
True,302,14.109,7111.407,23.548,3965.819,13.132,54.488,0.18,303,46,60,102,141
True,303,14.146,7228.632,23.857,5058.816,16.696,44.768,0.148,304,36,61,100,143
True,302,14.041,7238.192,23.968,5457.402,18.071,45.502,0.151,303,40,63,102,138
True,309,14.402,7246.312,23.451,4938.018,15.981,49.861,0.161,310,44,63,107,140
True,313,14.646,7258.767,23.191,5556.164,17.751,53.262,0.17,314,42,48,109,157
True,312,14.53,7358.365,23.585,4925.923,15.788,58.386,0.187,313,47,55,107,151
False,322,15.023,7487.403,23.253,5599.158,17.389,58.602,0.182,323,45,61,102,160
True,306,14.22,7325.819,23.941,5377.19,17.573,45.528,0.149,307,46,60,99,148
True,311,14.477,7524.238,24.194,5517.834,17.742,46.221,0.149,312,42,50,108,154
True,306,14.261,7271.258,23.762,5614.563,18.348,48.193,0.157,307,38,69,96,142
True,298,13.92,7269.9,24.396,4853.883,16.288,52.023,0.175,299,52,82,85,132
True,308,14.214,7329.33,23.797,5121.951,16.63,48.984,0.159,309,38,63,101,145
True,303,14.065,7311.063,24.129,5458.566,18.015,44.53,0.147,304,50,58,105,141
True,317,14.627,7410.787,23.378,4809.401,15.172,55.984,0.177,318,41,65,102,151
True,308,14.366,7364.468,23.911,4924.137,15.987,53.183,0.173,309,50,62,100,147
True,313,14.584,7427.71,23.731,5000.072,15.975,59.746,0.191,314,48,58,102,154
True,295,13.807,7130.525,24.171,4391.096,14.885,55.155,0.187,296,40,49,106,141
True,301,14.066,7118.374,23.649,4811.196,15.984,51.856,0.172,302,43,65,96,141
True,300,13.93,7268.148,24.227,4939.464,16.465,48.363,0.161,301,43,68,96,137
True,299,13.818,7304.87,24.431,4639.449,15.517,45.239,0.151,300,44,54,104,142
True,313,14.566,7483.575,23.909,5697.26,18.202,50.203,0.16,314,47,61,100,153
True,293,13.589,7221.048,24.645,4559.803,15.562,48.539,0.166,294,44,65,95,134
True,302,13.965,7261.027,24.043,5714.336,18.922,43.205,0.143,303,50,68,101,134
True,312,14.427,7462.38,23.918,4812.633,15.425,53.637,0.172,313,42,43,110,160
True,300,13.972,7141.53,23.805,3704.159,12.347,57.472,0.192,301,52,58,104,139
True,331,15.339,7421.499,22.421,7620.861,23.024,45.139,0.136,332,50,60,114,158
True,329,15.358,7723.65,23.476,6292.557,19.126,52.087,0.158,330,50,48,112,170
True,297,13.787,7099.562,23.904,5392.534,18.157,47.909,0.161,298,52,66,93,139
False,317,14.908,7331.216,23.127,5250.104,16.562,51.816,0.163,318,49,45,110,163
True,299,13.971,7275.517,24.333,4531.779,15.156,51.748,0.173,300,41,55,101,144
True,319,14.923,7437.142,23.314,5226.41,16.384,50.956,0.16,320,53,60,107,153
True,317,14.639,7437.368,23.462,4509.535,14.226,59.409,0.187,318,52,43,111,164
True,315,14.682,7270.082,23.08,4532.407,14.389,58.782,0.187,316,42,54,106,156
True,315,14.721,7252.477,23.024,5032.965,15.978,56.515,0.179,316,45,62,103,151
True,313,14.59,7346.863,23.472,4667.539,14.912,57.362,0.183,314,53,55,102,157
False,322,14.932,7414.349,23.026,5561.213,17.271,53.111,0.165,323,39,62,104,157
True,318,14.883,7532.525,23.687,5527.322,17.382,59.766,0.188,319,44,56,105,158
True,305,14.185,7291.132,23.905,5602.875,18.37,44.209,0.145,306,36,63,105,138
True,301,14.084,7122.778,23.664,3918.358,13.018,55.873,0.186,302,46,56,104,142
